Date,Open,High,Low,Close,Adj Close,Volume,Soma,Signal
2017-07-05,143.690002,144.789993,142.720001,144.089996,139.228058,21569600,560503388100,+
2017-07-06,143.020004,143.5,142.410004,142.729996,137.913971,24128800,560527516900,-
2017-07-07,142.899994,144.75,142.899994,144.179993,139.315018,19201700,560546718600,+
2017-07-10,144.110001,145.949997,143.369995,145.059998,140.165329,21090600,560567809200,+
2017-07-11,144.729996,145.850006,144.380005,145.529999,140.619492,19781800,560587591000,+
2017-07-12,145.869995,146.179993,144.820007,145.740005,140.822388,24884500,560612475500,-
2017-07-13,145.5,148.490005,145.440002,147.770004,142.783875,25199400,560637674900,+
2017-07-14,147.970001,149.330002,147.330002,149.039993,144.011017,20132100,560657807000,+
2017-07-17,148.820007,150.899994,148.570007,149.559998,144.513474,23793500,560681600500,+
2017-07-18,149.199997,150.130005,148.669998,150.080002,145.015961,17868800,560699469300,+
2017-07-19,150.479996,151.419998,149.949997,151.020004,145.92421,20923000,560720392300,+
2017-07-20,151.5,151.740005,150.190002,150.339996,145.267151,17243700,560737636000,-
2017-07-21,149.990005,150.440002,148.880005,150.270004,145.199524,26252600,560763888600,+
2017-07-24,150.580002,152.440002,149.899994,152.089996,146.95813,21493200,560785381800,+
2017-07-25,151.800003,153.839996,151.800003,152.740005,147.586212,18853900,560804235700,+
2017-07-26,153.350006,153.929993,153.059998,153.460007,148.281906,15781000,560820016700,+
2017-07-27,153.75,153.990005,147.300003,150.559998,145.479767,32476300,560852493000,-
2017-07-28,149.889999,150.229996,149.190002,149.5,144.455536,17213700,560869706700,-
2017-07-31,149.899994,150.330002,148.130005,148.729996,143.711487,19845900,560889552600,-
2017-08-01,149.100006,150.220001,148.410004,150.050003,144.986969,35368600,560924921200,+
2017-08-02,159.279999,159.75,156.160004,157.139999,151.837723,69936800,560994858000,-
2017-08-03,157.050003,157.210007,155.020004,155.570007,150.320694,27097300,561021955300,-
2017-08-04,156.070007,157.399994,155.690002,156.389999,151.113022,20559900,561042515200,+
2017-08-07,157.059998,158.919998,156.669998,158.809998,153.45137,21870300,561064385500,+
2017-08-08,158.600006,161.830002,158.270004,160.080002,154.678513,36205900,561100591400,+
2017-08-09,159.259995,161.270004,159.110001,161.059998,155.625443,26131500,561126722900,+
2017-08-10,159.899994,160.0,154.630005,155.320007,150.668503,40804300,561167527200,-
2017-08-11,156.600006,158.570007,156.070007,157.479996,152.763809,26257100,561193784300,+
2017-08-14,159.320007,160.210007,158.75,159.850006,155.06282,22122700,561215907000,+
2017-08-15,160.660004,162.199997,160.139999,161.600006,156.760422,29465500,561245372500,+
2017-08-16,161.940002,162.509995,160.149994,160.949997,156.129883,27671600,561273044100,-
2017-08-17,160.520004,160.710007,157.839996,157.860001,153.132416,27940600,561300984700,-
2017-08-18,157.860001,159.5,156.720001,157.5,152.783203,27428100,561328412800,-
2017-08-21,157.5,157.889999,155.110001,157.210007,152.501923,26368500,561354781300,-
2017-08-22,158.229996,160.0,158.020004,159.779999,154.994904,21604600,561376385900,+
2017-08-23,159.070007,160.470001,158.880005,159.979996,155.188934,19399100,561395785000,+
2017-08-24,160.429993,160.740005,158.550003,159.270004,154.500198,19818900,561415603900,-
2017-08-25,159.649994,160.559998,159.270004,159.860001,155.072525,25480100,561441084000,+
2017-08-28,160.139999,162.0,159.929993,161.470001,156.634308,25966000,561467050000,+
2017-08-29,160.100006,163.119995,160.0,162.910004,158.031204,29516900,561496566900,+
